field_name,photo_start,photo_end,standard_name
Sida A,1526,1551,
Paper Daisy A,1552,1561,Leiocarpa websterii
Astrebla A,1659,1664,
Zig zag,,,
Paper Daisy B,1593,1611,
Paper Daisy C,1612,1623,
Paper Daisy D,1631,1636,
Mallo A,1637,1650,
Eragrostis A,1664,1674,
Sclerolaena mystery,1675,1683,Sclerolaena ventricosa
Sida B,1693,1707,Sida intricata
Sclery Mary,1713,1731,
Sclero mystery,,,Sclerolaena ventricosa
Grass Déjà vu,,,
Sclero mystery II,1752,1757,
Sclerolaena ventricosa on roids,1765,1769,
Mallo B ,,,
Stipa Grass,,,
Tribulus,1829,1839,
Paper Daisy White Crinkle,,,
Bad Chef,1854,1868,
Mallo triple,,,
Mallo B,,,Abutilon malvifolium
Panicum A,,,
Blue grass,2624,2626,
Bothriochloa Grass,,,
Eragrostis B,,,
Pockets grass,,,
Dense grass,2716,2716,
Wallaby grass,,,
Hairy glumes,2742,2759,
Burr grass,2785,2788,
Skinny grass,2846,2851,
Long awns - déjà vu,,,
Pocket grass,,,
Mini eragrostis déjà vu,3110,3119,
Sida tussock,2852,2857,
Mallo A,1637,1650,
Lepidium,,,Lepdium fasciculatum
Tribilus ,,,
Cullen,,,
Sida corrugata,,,
Eragrostis red,,,
Hairy chenopod,3192,3203,
Euphorbia steven,,,
Melon,,,
Bundles,,,
Eurphorbia steven,,,
Tiny leaf boi,,,Euphorbia sp. probably either inappendiculata OR multifaria
Mallo 5-6,3384,3391,
Tiny green grass,,,
